Channel,Sample,Reflectance (%)
B,Sample 1,1.416027038477834
B,Sample 2,11.62778762084505
B,Sample 3,2.945706197280746
B,Sample 4,9.91015136925625
B,Sample 5,9.715140006932945
B,Sample 6,6.764887724839195
B,Sample 7,6.731027231059585
B,Sample 8,12.633569695335668
B,Sample 9,5.946905981589185
G,Sample 1,3.3567462366312397
G,Sample 2,29.923562208737046
G,Sample 3,6.937398665638514
G,Sample 4,26.938454085224798
G,Sample 5,26.603748952291546
G,Sample 6,18.421708854393668
G,Sample 7,18.583752304958594
G,Sample 8,34.682838367921676
G,Sample 9,25.973118315620074
R,Sample 1,5.286083096477502
R,Sample 2,29.28081840343202
R,Sample 3,7.84970502134364
R,Sample 4,25.833789161051325
R,Sample 5,26.20673500888875
R,Sample 6,18.623357710854915
R,Sample 7,18.623357710854915
R,Sample 8,20.609936235216473
R,Sample 9,33.6869755905428
R,Sample 10,23.75147191262415
NIR,Sample 1,7.996530564689435
NIR,Sample 2,31.513864795588127
NIR,Sample 3,10.397431582217852
NIR,Sample 4,24.67545245061233
NIR,Sample 5,24.39815653884991
NIR,Sample 6,19.394402299148176
NIR,Sample 7,18.32871605002201
NIR,Sample 8,31.019081894208117
NIR,Sample 9,8.06022318307744
